Longitude,Latitude,2014-11-08,2014-12-02,2014-12-26,2015-02-12,2015-03-08,2015-04-01,2015-04-25,2015-05-19,2015-06-12,2015-07-06,2015-07-30,2015-08-23,2015-09-16,2015-10-10,2015-11-03,2015-11-27,2015-12-09,2015-12-21,2016-01-14,2016-01-26,2016-02-07,2016-02-19,2016-03-02,2016-03-14,2016-03-26,2016-04-07,2016-04-19,2016-05-01,2016-05-13,2016-05-25,2016-06-06,2016-06-30,2016-07-24,2016-08-17,2016-09-10,2016-09-22,2016-10-04,2016-10-16,2016-10-28,2016-11-09,2016-11-21,2016-12-03,2016-12-15,2016-12-27,2017-01-08,2017-01-14,2017-01-20,2017-01-26,2017-02-01,2017-02-13,2017-02-25,2017-03-09,2017-03-21,2017-04-02,2017-04-14,2017-04-26,2017-05-08,2017-05-20,2017-06-01,2017-06-13,2017-06-25,2017-07-07,2017-07-19,2017-07-31,2017-08-12,2017-08-24,2017-09-05,2017-09-17,2017-09-29,2017-10-11,2017-10-23,2017-11-04,2017-11-16,2017-11-28,2017-12-10,2017-12-22,2018-01-03,2018-01-15,2018-01-27,2018-02-08,2018-02-20,2018-03-04,2018-03-16,2018-03-28,2018-04-09,2018-04-21,2018-05-03,2018-05-15,2018-05-27,2018-06-08,2018-06-20,2018-07-02,2018-07-14,2018-07-26,2018-08-07,2018-08-19,2018-08-31,2018-09-12,2018-09-24,2018-10-06,2018-10-18,2018-10-30,2018-11-11,2018-11-17,2018-11-23,2018-12-05,2018-12-17,2018-12-29,2019-01-10,2019-01-22
-119.9109,35.7051,0.0,-7.2827,1.7623,3.4042,-0.12604,4.7492,1.6402,2.4962,0.98722,2.4338,0.91733,1.2025,-1.633,1.1463,4.2321,0.33182,0.98447,1.8318,1.5753,2.9329,2.5245,1.3381,2.1456,5.3016,4.6242,6.9132,3.0873,4.8069,7.0684,3.5499,6.0793,4.307,4.6362,6.4305,4.5857,3.723,4.8356,4.6689,1.4165,1.7721,3.9327,5.0208,2.8153,4.1651,5.3115,3.8299,3.6691,6.142,6.0622,6.6367,4.8362,6.1174,6.9987,5.9803,6.8953,6.5605,6.5853,8.1185,8.3579,6.5767,9.8711,7.1142,6.5061,9.2978,4.9673,9.4763,8.879,6.483,5.6271,4.4653,4.1424,3.3396,6.454,5.8336,4.4625,5.4325,4.2254,5.6776,6.1507,5.1958,5.5514,6.637,7.3197,7.007,7.4217,8.5389,7.4811,9.1078,8.2576,11.148,8.5087,7.5447,7.4671,,9.7749,6.4257,6.2883,6.286,7.6348,5.0251,6.3983,7.667,6.3083,7.0895,6.8489,4.2806,6.773,8.2182,7.3445,8.6782
-119.9109,36.2712,0.0,-4.7702,1.8306,4.2471,0.38144,3.6814,-0.96236,-1.9831,-2.4096,-5.5787,-6.3389,-9.3344,-8.3436,-7.3875,-7.0871,-8.8712,-9.6301,-8.6639,-6.7307,-5.8196,-7.1673,-5.3763,-6.7848,-6.1636,-3.8544,-3.2744,-8.9579,-8.7005,-8.0705,-9.2657,-7.9575,-10.913,-13.813,-12.371,-15.004,-16.716,-17.675,-16.483,-18.153,-18.114,-16.733,-16.031,-18.091,-16.254,-16.294,-15.396,-15.366,-14.101,-14.12,-13.622,-14.121,-13.469,-12.456,-13.691,-11.801,-13.417,-13.247,-12.468,-11.622,-12.538,-9.4804,-9.7644,-9.0481,-9.7063,-12.365,-6.884,-11.173,-10.467,-12.235,-13.411,-12.473,-14.484,-11.814,-11.732,-11.469,-12.164,-12.306,-11.967,-10.178,-11.39,-10.838,-11.063,-11.136,-10.769,-11.803,-11.921,-12.101,-12.728,-13.649,-11.486,-14.079,-16.002,-15.711,,-14.055,-17.294,-18.643,-17.355,-16.955,-17.85,-18.881,-16.588,-18.606,-17.842,-20.72,-19.598,-17.774,-17.306,-17.836,-16.305
-119.9109,36.4713,0.0,-4.9697,0.21939,1.2128,-1.6886,1.7818,-2.2999,-1.7392,-0.63097,-4.598,-5.0687,-7.9244,-7.0173,-4.9265,-6.8714,-7.1606,-8.1621,-8.2856,-6.8188,-6.6227,-7.6871,-6.3222,-7.9936,-7.9062,-4.43,-6.9357,-9.4717,-8.5441,-7.5191,-8.9138,-7.0857,-8.7903,-9.6965,-10.265,-9.5191,-13.255,-13.851,-14.138,-13.957,-14.178,-12.867,-12.63,-14.372,-12.515,-12.488,-13.593,-14.004,-13.009,-12.69,-13.113,-13.601,-13.326,-10.833,-13.891,-11.975,-14.233,-13.784,-13.428,-12.986,-13.785,-12.199,-11.046,-11.753,-11.331,-14.553,-10.414,-12.927,-12.022,-15.345,-16.848,-15.142,-17.709,-16.361,-15.48,-15.322,-16.2,-15.917,-16.238,-15.146,-16.529,-16.179,-16.383,-17.219,-16.175,-17.127,-18.297,-17.507,-16.899,-17.263,-15.238,-16.462,-17.461,-17.12,,-16.27,-19.4,-20.78,-20.155,-20.072,-19.34,-21.707,-19.238,-20.985,-20.925,-23.1,-22.614,-21.835,-20.465,-21.592,-20.514
-119.9029,36.1752,0.0,-5.517,1.3314,2.8076,-2.0124,2.0456,-2.3864,-3.4751,-4.6381,-6.208,-7.0835,-10.372,-9.2057,-8.6764,-9.0468,-10.921,-11.438,-10.592,-10.235,-8.6307,-10.506,-9.2457,-11.248,-10.699,-8.3109,-7.5594,-12.733,-11.869,-11.281,-12.719,-11.17,-14.848,-16.966,-16.316,-18.873,-21.236,-22.314,-21.439,-24.34,-24.062,-22.731,-21.637,-23.833,-21.9,-22.45,-21.549,-21.606,-20.365,-20.379,-20.413,-21.002,-20.957,-20.771,-21.553,-19.57,-20.452,-20.071,-19.065,-17.743,-18.843,-15.638,-16.252,-15.446,-16.012,-18.901,-13.17,-17.388,-16.808,-17.928,-18.977,-18.78,-20.327,-17.814,-17.346,-17.33,-18.057,-18.531,-17.797,-16.283,-17.692,-17.421,-17.692,-18.14,-17.539,-18.555,-18.169,-18.89,-18.937,-19.707,-16.914,-19.099,-20.853,-20.36,,-18.116,-21.369,-23.147,-22.409,-22.039,-23.686,-24.837,-23.221,-24.633,-24.279,-26.798,-25.697,-24.091,-23.753,-24.269,-22.966
-119.8989,36.2272,0.0,-4.844,1.3517,3.4204,-1.2477,2.1583,-2.4971,-3.4465,-4.9014,-7.9082,-8.9211,-12.147,-11.192,-10.935,-10.671,-12.042,-12.78,-11.869,-10.876,-9.6033,-11.205,-9.6365,-11.178,-10.66,-8.8655,-7.5265,-13.905,-13.31,-12.832,-14.177,-12.827,-16.464,-19.353,-18.449,-20.74,-23.037,-24.071,-22.75,-25.377,-25.373,-23.66,-23.035,-24.29,-23.057,-23.515,-22.391,-22.394,-21.151,-21.275,-20.682,-21.122,-20.465,-19.941,-21.278,-19.276,-20.541,-20.269,-19.485,-18.134,-19.067,-15.701,-16.358,-15.517,-16.27,-19.255,-13.582,-17.816,-17.004,-18.497,-19.606,-18.901,-20.735,-18.134,-17.859,-17.544,-18.161,-18.709,-18.077,-16.461,-18.022,-17.502,-17.944,-18.585,-17.713,-18.778,-18.447,-19.129,-19.381,-20.349,-17.82,-20.223,-22.75,-22.014,,-20.172,-23.349,-24.969,-23.903,-23.722,-24.863,-26.303,-24.394,-26.164,-25.497,-27.955,-26.846,-25.142,-24.434,-25.166,-23.622
-119.8949,36.2793,0.0,-5.0559,1.4803,3.5659,-0.32234,2.9373,-1.6605,-2.5254,-3.1077,-6.1872,-6.9145,-9.9989,-9.5322,-8.9829,-9.2057,-10.962,-11.655,-10.948,-9.0328,-8.4397,-9.6751,-7.9046,-9.3443,-8.748,-6.3956,-6.2294,-11.606,-11.656,-10.951,-12.228,-10.657,-14.004,-17.086,-15.938,-18.731,-20.488,-21.589,-20.323,-21.9,-21.893,-20.726,-20.098,-21.88,-20.22,-20.275,-19.637,-19.607,-18.557,-18.605,-18.113,-18.703,-18.044,-16.658,-18.27,-15.986,-17.54,-17.223,-16.615,-15.756,-16.559,-13.816,-13.954,-13.395,-14.236,-16.981,-11.472,-15.832,-15.102,-17.312,-18.521,-17.532,-19.461,-16.908,-16.941,-16.678,-17.402,-17.573,-17.275,-15.57,-16.69,-15.892,-16.302,-16.706,-16.379,-17.441,-17.56,-17.914,-18.445,-19.348,-17.355,-19.631,-21.335,-21.36,,-19.768,-22.968,-24.342,-23.75,-23.401,-23.839,-25.153,-22.869,-24.908,-24.144,-26.846,-25.712,-24.476,-23.75,-24.268,-22.874
-119.8929,36.2472,0.0,-4.827,1.4653,3.6265,-0.60019,2.9071,-1.9239,-2.6151,-3.8085,-7.1362,-7.9869,-10.914,-10.416,-9.9821,-9.8135,-11.195,-11.833,-11.221,-9.7528,-8.5711,-9.8154,-8.2536,-9.7753,-8.9183,-7.0276,-5.5123,-11.939,-11.727,-11.105,-12.26,-10.959,-14.046,-17.341,-16.496,-18.912,-20.819,-21.801,-20.439,-22.455,-22.575,-21.106,-20.321,-21.002,-20.067,-20.478,-19.828,-19.791,-18.82,-19.052,-18.374,-19.065,-18.379,-17.609,-18.694,-16.58,-17.837,-17.665,-17.077,-16.062,-16.773,-13.857,-14.46,-13.747,-14.646,-17.331,-11.733,-15.848,-15.076,-16.835,-17.911,-17.033,-18.977,-16.407,-16.11,-15.906,-16.502,-16.767,-16.326,-14.434,-15.761,-15.324,-15.703,-15.763,-15.684,-16.67,-16.388,-16.822,-17.193,-18.176,-15.913,-18.336,-20.652,-20.092,,-18.549,-21.747,-23.101,-21.889,-21.588,-22.604,-23.832,-21.74,-23.716,-23.004,-25.551,-24.481,-22.8,-22.032,-22.758,-21.282
-119.8869,36.4673,0.0,-5.2715,-0.12562,0.86976,-1.852,1.6988,-2.589,-1.8074,0.086529,-3.7834,-4.0552,-6.6518,-6.1096,-4.2206,-6.045,-6.2925,-7.1521,-7.2427,-5.8355,-5.6527,-6.66,-5.2651,-6.9558,-7.0567,-3.5862,-6.0339,-8.879,-7.7942,-6.1453,-7.3083,-5.8115,-7.0021,-8.0874,-8.7455,-7.7826,-11.342,-12.08,-11.789,-12.052,-12.359,-11.221,-10.961,-12.667,-11.01,-10.92,-12.033,-12.515,-11.417,-11.196,-11.524,-11.981,-11.622,-8.803,-12.168,-10.393,-12.272,-12.093,-12.007,-11.259,-12.518,-10.834,-9.8913,-10.302,-9.7177,-13.425,-9.4447,-12.134,-11.029,-14.589,-15.656,-14.302,-16.523,-15.175,-14.711,-14.155,-15.087,-14.805,-15.105,-13.824,-15.349,-14.993,-15.053,-15.775,-14.755,-15.794,-16.763,-15.911,-15.774,-16.464,-14.161,-15.701,-15.852,-15.902,,-14.93,-18.017,-19.448,-18.806,-18.564,-18.089,-20.122,-17.843,-19.499,-19.459,-21.549,-20.857,-19.954,-18.852,-19.836,-18.825
-119.8849,35.8671,0.0,-6.9006,1.5378,3.1628,0.49591,5.3001,1.6969,2.4262,1.6066,1.9497,1.4987,1.1466,1.0078,1.6549,3.8632,1.4976,1.8155,2.7484,2.9637,4.728,3.7193,3.7294,3.9049,6.3263,6.1413,7.0598,3.4395,5.4374,7.0873,4.5355,7.2207,4.5712,5.2744,7.2421,5.0873,4.8616,5.7132,6.2781,3.6216,2.9349,4.8254,5.9698,4.0656,5.8393,5.6,4.9126,5.2666,7.1213,6.5602,7.5921,6.0828,6.8261,8.0143,6.854,8.1588,7.7212,7.6163,8.8019,8.149,7.1514,10.121,8.6505,7.7807,9.2289,5.8022,10.605,8.8316,6.2457,6.3478,5.227,4.9041,4.0642,7.2988,6.9561,6.2127,6.4367,5.247,6.2871,7.7688,6.6246,6.9422,7.8954,8.0648,8.0671,8.3721,9.259,8.0609,9.8364,8.7038,11.794,9.198,7.7116,7.8529,,11.081,7.391,6.9471,6.8234,8.2125,5.8749,6.7127,8.1959,6.8978,7.7228,7.0807,5.0158,6.952,8.8647,8.1739,9.191
-119.8829,35.9512,0.0,-6.3572,1.1703,2.1735,-0.47235,3.9732,0.57705,1.4311,0.69616,1.1763,1.0806,0.25675,1.1738,1.428,3.0682,0.95375,0.86328,1.7001,1.3209,2.665,1.8116,1.8372,1.5357,3.2551,4.1709,5.9005,1.1482,3.1207,4.501,3.0126,6.1731,3.4522,3.4742,6.3951,3.4278,3.4084,3.976,3.6003,1.7659,1.2345,2.9012,3.7419,2.3023,4.0729,3.8262,2.8826,3.1574,4.5797,3.9595,4.9966,3.6222,3.7402,3.8818,3.049,4.7326,4.2043,4.5459,5.7938,5.3554,4.5723,7.6298,6.5225,5.9634,7.3075,4.0903,9.1229,6.3252,5.1949,4.8079,3.8081,3.2016,2.2144,5.6197,4.7835,3.8958,3.8566,2.9555,4.2453,6.0552,4.1927,4.7432,5.4846,5.2097,5.3471,5.8733,6.5506,5.5624,7.1888,6.2198,9.5092,7.2093,5.9686,6.5739,,9.4,6.7294,6.0179,6.2658,7.4295,5.2748,5.8656,7.39,6.2726,7.1571,5.5456,3.7368,6.1842,7.5924,6.5185,8.1094
