Longitude,Latitude,2014-11-08,2014-12-02,2014-12-26,2015-02-12,2015-03-08,2015-04-01,2015-04-25,2015-05-19,2015-06-12,2015-07-06,2015-07-30,2015-08-23,2015-09-16,2015-10-10,2015-11-03,2015-11-27,2015-12-09,2015-12-21,2016-01-14,2016-01-26,2016-02-07,2016-02-19,2016-03-02,2016-03-14,2016-03-26,2016-04-07,2016-04-19,2016-05-01,2016-05-13,2016-05-25,2016-06-06,2016-06-30,2016-07-24,2016-08-17,2016-09-10,2016-09-22,2016-10-04,2016-10-16,2016-10-28,2016-11-09,2016-11-21,2016-12-03,2016-12-15,2016-12-27,2017-01-08,2017-01-14,2017-01-20,2017-01-26,2017-02-01,2017-02-13,2017-02-25,2017-03-09,2017-03-21,2017-04-02,2017-04-14,2017-04-26,2017-05-08,2017-05-20,2017-06-01,2017-06-13,2017-06-25,2017-07-07,2017-07-19,2017-07-31,2017-08-12,2017-08-24,2017-09-05,2017-09-17,2017-09-29,2017-10-11,2017-10-23,2017-11-04,2017-11-16,2017-11-28,2017-12-10,2017-12-22,2018-01-03,2018-01-15,2018-01-27,2018-02-08,2018-02-20,2018-03-04,2018-03-16,2018-03-28,2018-04-09,2018-04-21,2018-05-03,2018-05-15,2018-05-27,2018-06-08,2018-06-20,2018-07-02,2018-07-14,2018-07-26,2018-08-07,2018-08-19,2018-08-31,2018-09-12,2018-09-24,2018-10-06,2018-10-18,2018-10-30,2018-11-11,2018-11-17,2018-11-23,2018-12-05,2018-12-17,2018-12-29,2019-01-10,2019-01-22
-119.5609,36.1672,0.0,-5.3547,-2.3658,-5.3881,-8.023,-7.3596,-10.658,-11.574,-14.736,-15.653,-16.337,-19.015,-18.423,-18.903,-17.654,-19.07,-21.185,-21.169,-24.443,-23.079,-23.036,-23.503,-25.824,-23.868,-23.428,-24.651,-27.785,-28.368,-27.479,-29.58,-27.582,-31.336,-33.406,-33.211,-34.145,-34.783,-36.65,-35.133,-36.908,-35.487,-34.91,-34.86,-38.468,-37.818,-38.174,-37.837,-37.59,-36.785,-37.23,-35.597,-35.939,-35.149,-31.42,-35.693,-34.744,-33.935,-33.468,-33.568,-33.278,-34.422,-34.288,-33.549,-33.368,-31.512,-35.401,-32.701,-33.177,-33.701,-35.271,-35.649,-36.253,-37.103,-34.83,-34.564,-35.725,-35.849,-35.344,-37.907,-38.862,-41.374,-41.812,-42.673,-42.21,-41.657,-42.888,-42.801,-45.253,-44.847,-46.384,-45.646,-47.626,-48.024,-48.534,,-48.953,-50.678,-51.034,-50.574,-49.584,-51.545,-51.288,-52.2,-51.551,-50.846,-52.171,-51.173,-51.026,-51.103,-53.113,-53.654
-119.5489,36.0072,0.0,-6.9851,-2.4254,-5.593,-8.2796,-7.1048,-11.352,-13.149,-16.284,-17.528,-19.29,-22.537,-26.543,-26.818,-27.084,-29.89,-30.471,-30.368,-34.455,-33.02,-33.336,-34.146,-37.079,-35.68,-34.239,-33.203,-39.508,-39.533,-39.297,-41.597,-38.974,-43.497,-46.134,-45.956,-49.827,-52.223,-53.007,-53.215,-56.187,-56.718,-56.595,-55.614,-59.526,-58.353,-58.576,-59.676,-59.605,-58.977,-59.488,-57.945,-58.783,-58.189,-57.61,-59.734,-58.656,-57.866,-57.505,-57.766,-57.745,-58.539,-59.089,-57.726,-57.671,-56.324,-59.256,-56.721,-56.589,-57.696,-59.382,-59.943,-60.861,-62.5,-58.724,-59.55,-60.953,-60.515,-61.199,-60.448,-60.652,-62.854,-63.498,-63.938,-63.837,-65.634,-67.266,-65.655,-68.515,-67.826,-69.542,-68.534,-71.023,-71.714,-72.554,,-72.36,-74.824,-77.489,-78.733,-77.644,-80.556,-80.452,-81.312,-81.37,-81.05,-82.802,-81.895,-80.956,-82.264,-83.563,-83.407
-119.5369,36.0472,0.0,-6.5224,-2.6526,-7.6776,-11.111,-10.59,-14.676,-17.02,-20.39,-22.219,-24.436,-28.147,-31.64,-32.414,-32.403,-35.203,-35.972,-35.676,-39.892,-38.688,-39.032,-39.646,-42.654,-41.392,-40.591,-39.996,-45.936,-46.383,-46.03,-48.166,-45.821,-50.028,-53.17,-53.239,-56.713,-59.02,-60.303,-59.348,-62.436,-62.749,-62.511,-61.681,-65.747,-64.294,-65.171,-65.597,-65.142,-64.503,-64.692,-63.069,-63.642,-62.794,-60.726,-63.277,-62.231,-61.41,-60.777,-60.956,-60.737,-61.472,-61.965,-60.774,-60.755,-59.572,-62.475,-59.888,-60.193,-61.529,-62.796,-62.841,-63.888,-65.048,-62.168,-62.452,-63.649,-63.082,-63.372,-63.404,-63.908,-66.69,-67.954,-69.031,-68.147,-70.271,-71.544,-70.251,-72.632,-71.556,-73.454,-72.001,-74.527,-75.322,-76.071,,-76.763,-79.249,-81.438,-82.034,-80.592,-82.687,-82.712,-83.119,-82.872,-82.507,-84.13,-83.309,-83.198,-83.672,-84.917,-84.53
-119.5329,36.0152,0.0,-7.3199,-3.1023,-7.0166,-9.4511,-8.8795,-13.596,-15.78,-19.312,-21.342,-23.687,-27.481,-31.648,-32.273,-32.482,-35.929,-36.687,-36.76,-41.016,-39.769,-40.073,-40.808,-44.072,-42.843,-41.667,-40.72,-47.08,-47.366,-47.209,-49.735,-47.639,-52.554,-55.844,-55.884,-60.064,-62.501,-63.568,-63.915,-66.713,-66.599,-66.677,-65.883,-69.758,-68.899,-69.272,-70.34,-70.22,-69.705,-70.182,-68.531,-69.343,-68.692,-67.25,-69.64,-68.476,-67.667,-67.349,-67.384,-67.174,-68.21,-68.694,-67.269,-67.393,-66.144,-68.861,-66.686,-66.849,-68.007,-69.764,-70.232,-71.185,-72.713,-69.348,-70.142,-71.69,-71.205,-71.882,-71.19,-71.611,-74.01,-75.203,-75.79,-75.386,-77.317,-79.019,-77.476,-79.937,-78.768,-81.05,-79.855,-82.583,-83.616,-84.457,,-84.982,-87.328,-90.115,-91.043,-90.005,-92.917,-92.701,-93.641,-93.477,-93.259,-94.947,-94.305,-93.645,-94.788,-96.066,-96.017
-119.5289,35.9512,0.0,-5.6954,-0.297,-1.1709,-3.5007,-0.99811,-3.4221,-3.9274,-5.5705,-4.5142,-5.1685,-6.42,-9.7264,-8.8415,-7.5176,-9.6834,-9.7394,-8.7248,-12.248,-9.9384,-9.9128,-10.43,-12.887,-10.833,-9.1388,-7.6965,-12.688,-12.243,-11.368,-12.891,-9.6188,-12.847,-13.824,-11.918,-14.807,-16.129,-16.338,-16.706,-18.569,-18.647,-18.423,-16.749,-20.079,-18.794,-18.279,-19.925,-19.713,-19.041,-20.126,-18.286,-19.446,-18.913,-18.212,-20.44,-18.723,-17.982,-17.741,-17.916,-18.151,-19.385,-20.196,-18.657,-18.745,-17.309,-20.055,-17.879,-17.864,-18.909,-20.753,-21.458,-22.479,-24.381,-21.079,-21.642,-23.496,-23.229,-24.092,-23.58,-23.63,-25.718,-25.809,-25.538,-24.173,-25.849,-27.075,-24.474,-27.185,-25.354,-27.17,-25.425,-27.568,-27.256,-27.532,,-25.928,-27.892,-30.093,-30.716,-28.69,-32.151,-31.599,-31.942,-31.858,-31.522,-32.998,-32.592,-31.585,-32.096,-33.162,-32.845
-119.5269,36.0352,0.0,-6.1658,-2.2178,-6.7775,-9.8668,-9.6573,-14.018,-16.3,-19.834,-22.047,-24.35,-28.328,-32.01,-32.61,-32.368,-34.982,-35.621,-35.363,-39.64,-38.371,-38.565,-39.372,-42.659,-41.416,-40.642,-39.858,-45.987,-46.444,-46.249,-48.284,-46.507,-51.352,-54.656,-54.731,-58.468,-60.685,-61.873,-61.371,-64.482,-64.465,-64.375,-63.363,-67.286,-66.093,-66.671,-67.466,-67.195,-66.783,-67.064,-65.343,-66.138,-65.318,-63.5,-66.169,-65.173,-64.322,-63.985,-64.234,-64.045,-65.189,-65.998,-64.898,-65.166,-63.965,-66.739,-64.52,-64.831,-66.121,-67.465,-67.431,-68.401,-69.66,-66.706,-67.107,-68.663,-67.978,-68.484,-68.331,-68.795,-71.545,-73.035,-73.872,-73.015,-75.259,-76.762,-75.554,-78.165,-77.119,-79.38,-78.109,-80.847,-81.697,-82.648,,-83.182,-85.791,-87.984,-88.86,-87.523,-89.972,-89.729,-90.066,-89.945,-89.653,-91.134,-90.252,-90.062,-91.039,-92.219,-91.734
-119.5249,36.0032,0.0,-6.7409,-2.3274,-5.2297,-7.8608,-7.0282,-11.18,-12.507,-15.393,-16.8,-18.534,-21.937,-26.423,-26.696,-26.999,-29.525,-29.96,-29.788,-33.877,-32.181,-32.365,-33.055,-35.923,-34.571,-33.105,-32.182,-38.054,-39.165,-38.793,-40.94,-37.788,-42.313,-45.567,-45.155,-49.793,-51.78,-52.761,-53.316,-55.644,-55.555,-55.47,-54.727,-58.429,-57.36,-57.676,-58.686,-58.526,-58.135,-58.759,-56.956,-57.779,-57.185,-56.396,-58.205,-57.103,-55.821,-55.613,-54.376,-54.975,-55.881,-56.184,-55.153,-55.502,-54.581,-57.012,-54.785,-54.699,-56.041,-57.932,-58.257,-59.249,-60.979,-57.35,-58.121,-59.808,-59.433,-60.013,-59.406,-59.502,-61.632,-62.158,-62.732,-62.373,-64.309,-66.069,-64.084,-67.093,-66.05,-68.297,-66.974,-69.738,-70.216,-71.099,,-70.902,-73.721,-76.075,-76.751,-75.877,-78.071,-77.915,-78.357,-79.335,-79.103,-80.663,-80.131,-79.322,-80.148,-81.281,-81.245
-119.5209,36.0532,0.0,-6.2108,-1.9627,-7.611,-10.874,-10.622,-14.74,-16.923,-20.555,-22.344,-24.715,-28.689,-31.931,-32.279,-31.848,-34.447,-35.112,-34.51,-38.609,-37.193,-37.501,-38.089,-41.62,-40.456,-39.955,-39.35,-45.164,-45.685,-45.622,-47.814,-45.904,-50.485,-53.613,-53.6,-57.417,-59.193,-60.45,-59.32,-62.449,-62.225,-62.27,-61.17,-65.159,-63.471,-64.206,-64.709,-64.32,-63.666,-63.764,-62.201,-62.963,-61.957,-59.913,-62.843,-62.062,-61.364,-60.97,-61.197,-61.069,-62.065,-63.011,-61.741,-62.217,-60.936,-63.784,-61.288,-61.677,-62.75,-63.627,-63.323,-64.389,-65.363,-62.588,-62.869,-64.408,-63.687,-63.694,-63.529,-63.883,-66.986,-68.633,-69.417,-68.383,-70.407,-71.925,-70.976,-73.587,-72.654,-74.915,-73.64,-76.604,-77.665,-78.308,,-79.261,-81.613,-83.983,-84.454,-82.979,-84.926,-84.381,-84.536,-84.354,-83.878,-85.57,-84.349,-84.353,-84.947,-85.848,-85.424
-119.5209,36.2532,0.0,-3.0028,0.2857,-3.0966,-5.5072,-6.3175,-7.5115,-10.61,-13.0,-16.145,-18.43,-22.853,-25.847,-25.183,-25.25,-25.99,-27.344,-26.338,-27.0,-26.054,-26.71,-26.138,-30.426,-29.376,-28.851,-30.062,-31.931,-32.771,-33.404,-36.413,-36.231,-39.124,-42.25,-46.447,-49.563,-52.042,-52.557,-51.429,-53.438,-53.138,-53.482,-52.344,-53.745,-53.053,-53.208,-53.746,-53.969,-53.153,-53.868,-53.251,-53.629,-53.492,-51.205,-55.539,-55.596,-55.578,-55.136,-56.105,-56.844,-58.483,-58.482,-59.303,-60.365,-59.777,-62.548,-61.432,-61.893,-61.975,-63.016,-63.065,-64.11,-65.218,-62.968,-62.516,-63.56,-63.596,-63.455,-63.219,-63.461,-64.656,-65.561,-67.043,-66.42,-66.377,-66.68,-66.885,-68.714,-68.574,-70.768,-70.378,-71.451,-71.586,-75.143,,-80.428,-83.061,-85.686,-87.201,-85.81,-88.113,-87.581,-87.554,-87.838,-87.864,-88.377,-87.704,-86.222,-87.003,-86.825,-86.63
-119.5189,36.1372,0.0,-5.026,-1.3282,-4.8448,-8.1952,-8.1892,-12.127,-13.483,-17.057,-18.422,-19.534,-23.263,-25.397,-25.538,-25.17,-26.942,-28.268,-27.166,-30.396,-28.98,-28.843,-29.243,-32.071,-31.202,-30.94,-30.905,-34.993,-36.126,-36.153,-38.215,-36.728,-41.402,-44.113,-45.256,-47.913,-49.832,-51.001,-49.827,-52.251,-51.509,-51.19,-50.139,-53.56,-52.435,-52.762,-52.941,-52.722,-52.018,-52.738,-51.244,-51.767,-51.219,-47.818,-51.936,-51.486,-50.783,-50.786,-51.181,-51.215,-52.456,-53.096,-52.428,-52.735,-50.998,-54.311,-52.216,-51.866,-52.258,-54.073,-54.293,-55.053,-56.171,-54.251,-53.352,-55.05,-54.7,-53.87,-54.28,-54.9,-56.935,-57.486,-58.329,-57.341,-58.793,-59.761,-58.977,-61.716,-61.268,-63.13,-62.499,-64.568,-64.959,-66.396,,-68.443,-70.516,-72.096,-72.367,-71.375,-73.449,-73.109,-73.382,-73.078,-72.517,-73.697,-72.563,-71.897,-72.79,-73.712,-73.808
